ID,Name, Number of holes, Latitude, Longitude
502,Camp Mt. Luther Disc Golf Course,18,40.94,-77.14
503,Camp North Star,18,46.09,-91.24
504,Camp Olympic Park,18,40.54,-75.52
505,Camp Petosega Disc Golf Course,18,45.39,-84.74
506,Camp Rockmont Disc Golf Course,18,35.63,-82.36
507,Camp Sankanac Disc Golf Course,18,40.16,-75.65
508,Camp Serene Disc Golf Course,18,44.14,-123.44
509,Camp Success,18,37.33,-80.81
510,Camp Swatara,18,40.50,-76.35
511,Camp Tadmor,18,44.47,-122.65
512,Camp of the Tall Pines,18,32.83,-105.54
513,Camp Tecumseh,18,40.60,-75.00
514,Camp Woodmont,18,34.67,-85.48
515,Campbell Highlands Disc Golf Course,18,44.06,-70.23
516,Campbell University Campus Recreation Disc Golf Course,18,35.41,-78.73
517,Campgaw Reservation - Blue/Black,18,41.06,-74.19
518,Canaan Riverbend Disc Golf Course,20,35.02,-81.00
519,Canby West,18,39.73,-75.58
520,Cane Creek Park,18,34.84,-80.69
521,Cane Creek Park,18,36.16,-85.54
522,Cane Ridge Advanced Disc Golf Course,18,35.99,-86.62
523,Cane Ridge - Short Course,18,35.99,-86.62
524,Cannon Ridge,18,38.30,-77.56
525,The Canyons at Dellwood Park,27,41.57,-88.06
526,The Canyons Resort,18,40.68,-111.58
527,Cape County Park Disc Golf Course - North,18,37.35,-89.59
528,Cape Henlopen State Park,19,38.79,-75.10
529,Capital City Disc Golf Course,18,31.56,-88.04
530,Lakeview Park Disc Golf,18,38.22,-84.82
531,Capital Springs,18,43.02,-89.35
532,Carey Park,18,38.03,-97.92
533,Carlton Disc Golf Sanctuary,18,46.65,-92.43
534,Carmel Middle School,18,36.54,-121.90
535,Carnes Park,18,33.57,-92.83
536,Carrollton Park Disc Golf Course,18,38.76,-90.42
537,Stadium Disc Golf at Carson Ridge,18,39.19,-119.68
